Freq	E'	E"	tan_delta	PhaseAngle	strain
Hz	Pa	Pa	 	°	%
1.00000	1.0823e+05	9354.62	0.08643	4.940	0.50220
2.00000	1.1029e+05	11032.7	0.10003	5.712	0.50330
3.00000	1.1209e+05	12633.6	0.11271	6.431	0.50585
4.00000	1.1444e+05	13958.8	0.12197	6.954	0.50961
5.00000	1.1574e+05	14877.2	0.12854	7.324	0.51479
6.00000	1.1817e+05	16213.5	0.13721	7.813	0.52142
7.00000	1.2071e+05	16864.1	0.13970	7.953	0.52938
8.00000	1.2343e+05	18139.2	0.14696	8.361	0.53919
9.00000	1.2599e+05	19164.8	0.15211	8.649	0.55070
10.00000	1.2891e+05	19904.3	0.15441	8.778	0.56429
11.0000	1.3089e+05	20980.9	0.16029	9.106	0.50048
12.0000	1.3291e+05	21912.6	0.16487	9.362	0.51641
13.0000	1.3697e+05	22222.5	0.16224	9.216	0.53467
14.0000	1.4123e+05	22852.8	0.16181	9.191	0.55611
15.0000	1.4412e+05	24681.0	0.17125	9.718	0.50016
16.0000	1.4789e+05	23827.7	0.16112	9.153	0.52574
17.0000	1.5246e+05	24582.7	0.16124	9.160	0.55580
18.0000	-81298.	-1.753e+05	2.15603	245.117	0.50118
19.0000	1.6087e+05	25408.0	0.15795	8.975	0.53757
20.0000	1.6349e+05	25673.3	0.15704	8.925	0.50234
21.0000	1.6979e+05	25502.6	0.15020	8.542	0.55084
22.0000	1.7383e+05	26292.6	0.15125	8.601	0.50277
23.0000	1.8139e+05	25394.6	0.14000	7.970	0.56920
24.0000	1.8548e+05	25643.9	0.13826	7.872	0.50551
25.0000	1.9011e+05	25655.9	0.13495	7.686	0.50063
26.0000	1.9640e+05	25898.0	0.13187	7.512	0.50679
27.0000	2.0224e+05	25363.2	0.12541	7.148	0.51413
28.0000	2.0962e+05	24191.9	0.11541	6.583	0.52871
29.0000	2.1518e+05	23839.6	0.11079	6.322	0.51197
30.0000	2.2228e+05	23256.4	0.10462	5.973	0.52526
31.0000	2.2963e+05	23347.9	0.10168	5.806	0.51565
32.0000	2.3561e+05	22375.5	0.09497	5.425	0.50076
33.0000	2.4158e+05	20253.8	0.08384	4.792	0.50612
34.0000	2.5099e+05	19456.6	0.07752	4.433	0.50457
35.0000	2.5874e+05	18313.3	0.07078	4.049	0.50335
36.0000	2.6478e+05	17749.4	0.06704	3.835	0.50203
37.0000	2.7057e+05	16143.1	0.05966	3.414	0.43103
38.0000	2.8304e+05	14045.8	0.04962	2.841	0.50245
39.0000	2.8935e+05	12630.2	0.04365	2.499	0.44398
40.0000	2.9847e+05	10016.5	0.03356	1.922	0.50223
41.0000	3.0896e+05	9126.30	0.02954	1.692	0.45384
42.0000	3.1605e+05	7315.47	0.02315	1.326	0.50148
43.0000	3.2364e+05	4288.49	0.01325	0.759	0.45827
44.0000	3.3633e+05	1474.51	0.00438	0.251	0.50171
45.0000	3.4375e+05	729.245	0.00212	0.122	0.46303
46.0000	3.5502e+05	-2653.4	-0.0075	-0.428	0.43005
47.0000	3.7154e+05	-6933.3	-0.0187	-1.069	0.50171
48.0000	3.7839e+05	-6947.5	-0.0184	-1.052	0.46814
49.0000	3.8354e+05	-10465.	-0.0273	-1.563	0.43791
50.0000	4.0052e+05	-15878.	-0.0396	-2.270	0.50128
51.0000	4.0816e+05	-18847.	-0.0462	-2.644	0.47165
52.0000	4.2012e+05	-23090.	-0.0550	-3.146	0.44555
