Freq	E'	E"	tan_delta	PhaseAngle	strain
Hz	Pa	Pa	 	°	%
1.00000	1.0081e+05	11243.1	0.11153	6.364	0.50507
2.00000	1.0256e+05	12257.8	0.11952	6.815	0.50632
3.00000	1.0359e+05	14448.7	0.13948	7.941	0.50906
4.00000	1.0553e+05	14836.8	0.14059	8.003	0.51284
5.00000	1.0680e+05	15607.5	0.14613	8.314	0.51820
6.00000	1.0818e+05	16446.6	0.15203	8.645	0.52492
7.00000	2.4248e+05	7.3456e+05	3.02937	71.732	0.53360
8.00000	1.1220e+05	18240.6	0.16257	9.234	0.54291
9.00000	1.1368e+05	18507.5	0.16280	9.247	0.55477
10.00000	1.1606e+05	20129.9	0.17345	9.840	0.56845
11.0000	1.1589e+05	21208.8	0.18301	10.371	0.49994
12.0000	1.1869e+05	21450.8	0.18073	10.244	0.51577
13.0000	1.2139e+05	21697.6	0.17875	10.134	0.53431
14.0000	1.2377e+05	22879.2	0.18485	10.473	0.55622
15.0000	1.2464e+05	23608.0	0.18941	10.725	0.50117
16.0000	1.2823e+05	23800.1	0.18561	10.515	0.52676
17.0000	1.3117e+05	23952.3	0.18261	10.349	0.55727
18.0000	1.3199e+05	24588.8	0.18629	10.553	0.50223
19.0000	1.3625e+05	24700.2	0.18129	10.275	0.53920
20.0000	1.3761e+05	25227.8	0.18333	10.389	0.49989
21.0000	1.4180e+05	25775.5	0.18177	10.302	0.54891
22.0000	1.4426e+05	26581.7	0.18426	10.440	0.50242
23.0000	1.4975e+05	25227.8	0.16847	9.563	0.56999
24.0000	1.5154e+05	25871.4	0.17072	9.688	0.50522
25.0000	1.5404e+05	25094.5	0.16291	9.253	0.50359
26.0000	1.5824e+05	25833.6	0.16325	9.272	0.50573
27.0000	1.6230e+05	25914.7	0.15967	9.072	0.51474
28.0000	1.6629e+05	24215.7	0.14562	8.285	0.53147
29.0000	1.6905e+05	23850.6	0.14109	8.031	0.50446
30.0000	1.7368e+05	22631.9	0.13030	7.424	0.53924
31.0000	1.7934e+05	22626.0	0.12617	7.191	0.52101
32.0000	1.8276e+05	22943.5	0.12554	7.155	0.50163
33.0000	1.8432e+05	21073.7	0.11433	6.523	0.50452
34.0000	1.9060e+05	19124.3	0.10034	5.730	0.50580
35.0000	1.9593e+05	18922.9	0.09658	5.516	0.50235
36.0000	1.9819e+05	18418.1	0.09293	5.309	0.50071
37.0000	2.0148e+05	17428.6	0.08650	4.944	0.43091
38.0000	2.0914e+05	14827.8	0.07090	4.056	0.50353
39.0000	2.1227e+05	14448.6	0.06807	3.894	0.44563
40.0000	2.1777e+05	12735.4	0.05848	3.347	0.50161
41.0000	2.2395e+05	11418.9	0.05099	2.919	0.45363
42.0000	2.2657e+05	10885.8	0.04805	2.751	0.50214
43.0000	2.2955e+05	8383.31	0.03652	2.092	0.45919
44.0000	2.3796e+05	8189.94	0.03442	1.971	0.50104
45.0000	2.4182e+05	9244.39	0.03823	2.189	0.46271
46.0000	2.4961e+05	10098.6	0.04046	2.317	0.43005
47.0000	2.6312e+05	11472.9	0.04360	2.497	0.50141
48.0000	2.7116e+05	9170.88	0.03382	1.937	0.46912
49.0000	2.7633e+05	4040.75	0.01462	0.838	0.43974
50.0000	2.9411e+05	-139.47	-4.742e-04	-0.027	0.50180
51.0000	2.9747e+05	-6978.1	-0.0235	-1.344	0.47225
52.0000	3.0503e+05	-13257.	-0.0435	-2.489	0.44613
53.0000	3.2036e+05	-18185.	-0.0568	-3.249	0.49795
54.0000	3.2142e+05	-23756.	-0.0739	-4.227	0.47112
55.0000	3.2823e+05	-29500.	-0.0899	-5.136	0.44746
56.0000	3.3638e+05	-34379.	-0.1022	-5.836	0.42579
57.0000	3.4824e+05	-40252.	-0.1156	-6.593	0.50293
58.0000	3.5672e+05	-44945.	-0.1260	-7.181	0.47982
59.0000	3.5492e+05	-50126.	-0.1412	-8.039	0.45742
60.0000	3.6260e+05	-56300.	-0.1553	-8.826	0.43758
61.0000	3.8493e+05	-61612.	-0.1601	-9.094	0.50408
62.0000	3.9471e+05	-66940.	-0.1696	-9.625	0.48335
63.0000	3.9048e+05	-73243.	-0.1876	-10.624	0.46267
64.0000	3.9848e+05	-78552.	-0.1971	-11.152	0.44460
65.0000	3.9824e+05	-86616.	-0.2175	-12.270	0.42683
66.0000	4.2708e+05	-92075.	-0.2156	-12.166	0.50191
67.0000	4.3840e+05	-97541.	-0.2225	-12.544	0.48368
68.0000	4.2585e+05	-1.044e+05	-0.2451	-13.773	0.46457
69.0000	4.3493e+05	-1.104e+05	-0.2539	-14.244	0.44841
70.0000	4.4425e+05	-1.165e+05	-0.2623	-14.698	0.43291
70.9999	4.7785e+05	-1.191e+05	-0.2493	-13.998	0.50079
71.9999	4.7783e+05	-1.279e+05	-0.2677	-14.986	0.48358
72.9999	4.5876e+05	-1.366e+05	-0.2977	-16.580	0.46593
73.9999	4.7313e+05	-1.377e+05	-0.2911	-16.231	0.45136
74.9999	4.8264e+05	-1.462e+05	-0.3030	-16.858	0.43734
75.9999	5.3326e+05	-1.515e+05	-0.2841	-15.860	0.50341
76.9999	5.4639e+05	-1.581e+05	-0.2893	-16.136	0.48833
77.9999	5.2664e+05	-1.687e+05	-0.3203	-17.758	0.47205
78.9999	5.3527e+05	-1.822e+05	-0.3403	-18.795	0.45822
79.9999	5.3034e+05	-1.910e+05	-0.3602	-19.809	0.44429
80.9999	5.4367e+05	-2.033e+05	-0.3740	-20.507	0.43193
81.9999	6.1051e+05	-2.047e+05	-0.3352	-18.533	0.50416
82.9999	6.0832e+05	-2.113e+05	-0.3473	-19.152	0.48954
83.9999	5.5202e+05	-2.173e+05	-0.3936	-21.485	0.47306
84.9999	5.7007e+05	-2.174e+05	-0.3814	-20.875	0.46082
85.9999	5.7066e+05	-2.132e+05	-0.3737	-20.489	0.44834
86.9999	6.0480e+05	-2.072e+05	-0.3425	-18.907	0.43773
87.9999	6.2311e+05	-2.134e+05	-0.3425	-18.907	0.42689
89.0000	7.2311e+05	-2.313e+05	-0.3199	-17.740	0.50332
90.0000	7.3239e+05	-2.499e+05	-0.3412	-18.841	0.49070
91.0000	6.5968e+05	-2.712e+05	-0.4110	-22.345	0.47517
92.0000	6.8376e+05	-2.837e+05	-0.4149	-22.531	0.46412
93.0000	6.8238e+05	-2.904e+05	-0.4255	-23.050	0.45265
94.0000	7.0953e+05	-2.975e+05	-0.4194	-22.751	0.44261
95.0000	7.3025e+05	-2.974e+05	-0.4073	-22.160	0.43259
96.0000	9.0868e+05	-3.189e+05	-0.3509	-19.336	0.50510
97.0000	8.6139e+05	-5.823e+05	-0.6760	-34.059	0.49143
98.0000	4.3797e+05	-2.857e+05	-0.6523	-33.115	0.46506
99.0000	6.1904e+05	-2.036e+05	-0.3290	-18.210	0.46027
100.0000	8.2316e+05	-2.204e+05	-0.2677	-14.988	0.45644
101.000	7.1591e+05	-4.498e+05	-0.6283	-32.139	0.44326
102.000	-8.229e+05	-1.778e+05	0.21608	192.193	0.43302
103.000	7.7509e+05	-2.771e+05	-0.3575	-19.672	0.42538
104.000	9.6453e+05	-2.802e+05	-0.2905	-16.196	0.50460
105.000	9.9890e+05	-3.004e+05	-0.3007	-16.738	0.49479
106.000	1.0154e+06	-2.781e+05	-0.2739	-15.315	0.48468
107.000	8.9546e+05	-2.629e+05	-0.2936	-16.364	0.47086
108.000	9.8529e+05	-2.604e+05	-0.2643	-14.806	0.46355
109.000	1.0385e+06	-2.996e+05	-0.2885	-16.093	0.45548
110.000	1.0831e+06	-3.469e+05	-0.3202	-17.757	0.44733
111.000	1.0963e+06	-3.740e+05	-0.3411	-18.836	0.43860
112.000	1.1355e+06	-3.942e+05	-0.3472	-19.146	0.43071
113.000	1.3565e+06	-4.060e+05	-0.2993	-16.662	0.50548
114.000	1.3772e+06	-4.293e+05	-0.3117	-17.314	0.49595
115.000	1.4250e+06	-4.515e+05	-0.3168	-17.579	0.48741
116.000	1.2360e+06	-4.932e+05	-0.3991	-21.755	0.47329
117.000	1.2612e+06	-5.258e+05	-0.4169	-22.633	0.46483
118.000	1.2662e+06	-5.133e+05	-0.4054	-22.067	0.45612
119.000	1.3269e+06	-5.168e+05	-0.3895	-21.279	0.44887
120.000	1.3565e+06	-5.345e+05	-0.3940	-21.505	0.44108
121.000	1.4027e+06	-5.605e+05	-0.3996	-21.781	0.43384
122.000	1.4649e+06	-6.058e+05	-0.4135	-22.466	0.42715
123.000	1.7524e+06	-6.422e+05	-0.3665	-20.126	0.50667
124.000	1.8013e+06	-6.820e+05	-0.3786	-20.737	0.49855
125.000	1.8150e+06	-7.202e+05	-0.3968	-21.644	0.48982
126.000	1.8608e+06	-7.555e+05	-0.4060	-22.098	0.48198
127.000	1.5764e+06	-8.143e+05	-0.5166	-27.319	0.46777
128.000	1.6173e+06	-8.543e+05	-0.5282	-27.844	0.46038
129.000	1.6261e+06	-8.964e+05	-0.5513	-28.866	0.45260
130.000	1.6206e+06	-9.403e+05	-0.5802	-30.124	0.44475
131.000	1.6495e+06	-9.708e+05	-0.5886	-30.479	0.43768
132.000	1.6445e+06	-1.002e+06	-0.6091	-31.347	0.43028
133.000	2.0529e+06	-1.023e+06	-0.4981	-26.480	0.50683
134.000	2.0587e+06	-1.047e+06	-0.5088	-26.965	0.49055
135.000	2.0995e+06	-1.067e+06	-0.5084	-26.950	0.48310
