Freq	E'	E"	tan_delta	PhaseAngle	strain
Hz	Pa	Pa	 	°	%
1.00000	1.7440e+05	13502.3	0.07742	4.427	0.47798
2.00000	1.7722e+05	15916.7	0.08982	5.132	0.47855
3.00000	1.7990e+05	17436.1	0.09692	5.536	0.48053
4.00000	1.8161e+05	18522.1	0.10199	5.823	0.48379
5.00000	1.8350e+05	20090.3	0.10948	6.248	0.48834
6.00000	1.8574e+05	21259.4	0.11446	6.530	0.49411
7.00000	1.8772e+05	21993.0	0.11716	6.682	0.50125
8.00000	1.9003e+05	23312.4	0.12268	6.994	0.50974
9.00000	1.9200e+05	23942.1	0.12470	7.108	0.52003
10.00000	1.9418e+05	25077.0	0.12914	7.359	0.53218
11.0000	1.9710e+05	25352.9	0.12863	7.330	0.54578
12.0000	2.0012e+05	26132.5	0.13059	7.440	0.56189
13.0000	1.9934e+05	28202.9	0.14148	8.053	0.50040
14.0000	2.0329e+05	28797.7	0.14166	8.063	0.51866
15.0000	2.0652e+05	29895.8	0.14476	8.237	0.54046
16.0000	2.0990e+05	29559.4	0.14083	8.016	0.56571
17.0000	2.1047e+05	29613.6	0.14070	8.009	0.50103
18.0000	2.1336e+05	30670.9	0.14375	8.180	0.53111
19.0000	2.1716e+05	30404.1	0.14001	7.970	0.56631
20.0000	2.1774e+05	31066.4	0.14268	8.120	0.50274
21.0000	2.2208e+05	31374.4	0.14128	8.041	0.54650
22.0000	2.2404e+05	31170.3	0.13913	7.920	0.50189
23.0000	2.2922e+05	31465.4	0.13727	7.816	0.56017
24.0000	2.3049e+05	32025.3	0.13895	7.910	0.50165
25.0000	2.3257e+05	31686.1	0.13624	7.758	0.50394
26.0000	2.3658e+05	31695.2	0.13397	7.631	0.50425
27.0000	2.4140e+05	32182.9	0.13332	7.594	0.50647
28.0000	2.4605e+05	32973.1	0.13401	7.633	0.51009
29.0000	2.4826e+05	31416.4	0.12655	7.212	0.52565
30.0000	2.5228e+05	30156.9	0.11954	6.817	0.49735
31.0000	2.5736e+05	29005.1	0.11270	6.430	0.53905
32.0000	2.6208e+05	28081.9	0.10715	6.116	0.52066
33.0000	2.6390e+05	28496.5	0.10798	6.163	0.50478
34.0000	2.6745e+05	26985.8	0.10090	5.762	0.50495
35.0000	2.7239e+05	25566.5	0.09386	5.362	0.50409
36.0000	2.7558e+05	25096.7	0.09107	5.203	0.50328
37.0000	2.7804e+05	24058.1	0.08653	4.945	0.42574
38.0000	2.8498e+05	21954.4	0.07704	4.405	0.50328
39.0000	2.8797e+05	20416.3	0.07090	4.055	0.44114
40.0000	2.9303e+05	18712.8	0.06386	3.654	0.50129
41.0000	2.9767e+05	15990.0	0.05372	3.075	0.45005
42.0000	3.0159e+05	15144.6	0.05022	2.875	0.50286
43.0000	3.0284e+05	13691.8	0.04521	2.589	0.45720
44.0000	3.1049e+05	11101.7	0.03576	2.048	0.50148
45.0000	3.1404e+05	9344.60	0.02976	1.704	0.46154
46.0000	3.1706e+05	8053.81	0.02540	1.455	0.42680
47.0000	3.2637e+05	8057.74	0.02469	1.414	0.50219
48.0000	3.2735e+05	5304.57	0.01620	0.928	0.46736
49.0000	3.2409e+05	6143.01	0.01895	1.086	0.43572
50.0000	3.3472e+05	5137.87	0.01535	0.879	0.50179
51.0000	3.3299e+05	5464.23	0.01641	0.940	0.47068
52.0000	3.3429e+05	9391.60	0.02809	1.609	0.44350
53.0000	3.4939e+05	13855.2	0.03966	2.271	0.50202
54.0000	3.5095e+05	21665.2	0.06173	3.533	0.47474
55.0000	3.6679e+05	32439.8	0.08844	5.054	0.45184
56.0000	3.9280e+05	37612.9	0.09576	5.470	0.43185
57.0000	4.2707e+05	28115.3	0.06583	3.767	0.50229
58.0000	4.4153e+05	15124.0	0.03425	1.962	0.47967
59.0000	4.5527e+05	-478.35	-0.0011	-0.060	0.45876
60.0000	4.6562e+05	-14941.	-0.0321	-1.838	0.43865
61.0000	4.8655e+05	-28913.	-0.0594	-3.401	0.50053
62.0000	4.8232e+05	-39459.	-0.0818	-4.677	0.47814
63.0000	4.8856e+05	-47720.	-0.0977	-5.579	0.45841
64.0000	4.9512e+05	-57807.	-0.1168	-6.659	0.43994
65.0000	5.1241e+05	-65340.	-0.1275	-7.267	0.50067
66.0000	5.1955e+05	-74949.	-0.1443	-8.209	0.48148
67.0000	5.1100e+05	-82543.	-0.1615	-9.176	0.46205
68.0000	5.1605e+05	-89982.	-0.1744	-9.891	0.44498
69.0000	5.2207e+05	-97150.	-0.1861	-10.541	0.42890
70.0000	-1.640e+06	4.8904e+05	-0.2982	163.395	0.52544
70.9999	5.6632e+05	-1.134e+05	-0.2003	-11.327	0.48537
71.9999	5.3771e+05	-1.166e+05	-0.2168	-12.234	0.46635
72.9999	5.4790e+05	-1.218e+05	-0.2223	-12.532	0.45113
73.9999	5.5628e+05	-1.294e+05	-0.2326	-13.093	0.43659
74.9999	6.0091e+05	-1.391e+05	-0.2315	-13.033	0.50357
75.9999	6.1375e+05	-1.404e+05	-0.2287	-12.883	0.48810
76.9999	5.9359e+05	-1.524e+05	-0.2568	-14.403	0.47135
77.9999	6.0398e+05	-1.607e+05	-0.2661	-14.901	0.45721
78.9999	6.1514e+05	-1.735e+05	-0.2820	-15.751	0.44382
79.9999	6.1009e+05	-1.845e+05	-0.3025	-16.830	0.43023
80.9999	6.5426e+05	-1.845e+05	-0.2821	-15.751	0.50259
81.9999	6.7473e+05	-1.916e+05	-0.2840	-15.854	0.48899
82.9999	6.2542e+05	-2.046e+05	-0.3272	-18.118	0.47237
83.9999	6.2258e+05	-2.097e+05	-0.3368	-18.612	0.45891
84.9999	6.3784e+05	-2.099e+05	-0.3291	-18.219	0.44691
85.9999	6.3654e+05	-2.064e+05	-0.3243	-17.968	0.43457
86.9999	7.2355e+05	-1.995e+05	-0.2757	-15.413	0.50360
87.9999	7.4902e+05	-2.003e+05	-0.2675	-14.974	0.49128
89.0000	7.2139e+05	-2.215e+05	-0.3070	-17.068	0.47715
90.0000	7.3054e+05	-2.423e+05	-0.3316	-18.347	0.46517
91.0000	7.2874e+05	-2.589e+05	-0.3553	-19.562	0.45340
92.0000	7.5558e+05	-2.760e+05	-0.3653	-20.069	0.44277
93.0000	7.5256e+05	-2.833e+05	-0.3764	-20.628	0.43167
94.0000	8.6870e+05	-2.844e+05	-0.3274	-18.129	0.50332
95.0000	8.9770e+05	-2.838e+05	-0.3161	-17.543	0.49213
96.0000	9.9520e+05	-3.252e+05	-0.3268	-18.095	0.48413
97.0000	1.1385e+06	-5.923e+05	-0.5203	-27.486	0.47785
98.0000	-84514.	-2.004e+05	2.37129	247.134	0.42667
99.0000	6.2387e+05	-6941.2	-0.0111	-0.637	0.43808
100.0000	8.2012e+05	-1321.4	-0.0016	-0.092	0.43407
101.000	1.0553e+06	-6.244e+05	-0.5917	-30.612	0.43199
102.000	8.6139e+05	-3.265e+05	-0.3791	-20.760	0.50208
103.000	9.7100e+05	-3.152e+05	-0.3246	-17.983	0.49454
104.000	9.9378e+05	-3.098e+05	-0.3118	-17.316	0.48447
105.000	8.7899e+05	-3.227e+05	-0.3671	-20.157	0.47056
106.000	8.7704e+05	-3.112e+05	-0.3548	-19.536	0.46049
107.000	9.1055e+05	-2.811e+05	-0.3087	-17.157	0.45170
108.000	9.7705e+05	-2.690e+05	-0.2753	-15.391	0.44402
109.000	1.0465e+06	-2.929e+05	-0.2799	-15.639	0.43664
110.000	1.1032e+06	-3.318e+05	-0.3008	-16.739	0.42910
111.000	1.3091e+06	-3.408e+05	-0.2603	-14.592	0.50581
112.000	1.3558e+06	-3.685e+05	-0.2718	-15.204	0.49689
113.000	1.3688e+06	-3.903e+05	-0.2851	-15.914	0.48722
114.000	1.1840e+06	-4.149e+05	-0.3505	-19.314	0.47286
115.000	1.2313e+06	-4.152e+05	-0.3372	-18.635	0.46474
116.000	1.2620e+06	-4.299e+05	-0.3406	-18.811	0.45649
117.000	1.3011e+06	-4.246e+05	-0.3263	-18.073	0.44855
118.000	1.3538e+06	-4.437e+05	-0.3277	-18.145	0.44122
119.000	1.4391e+06	-4.766e+05	-0.3312	-18.324	0.43467
120.000	1.4797e+06	-5.264e+05	-0.3557	-19.582	0.42733
121.000	1.7493e+06	-5.819e+05	-0.3327	-18.400	0.50596
122.000	1.7955e+06	-6.313e+05	-0.3516	-19.371	0.49763
123.000	1.8024e+06	-6.792e+05	-0.3768	-20.649	0.48859
124.000	1.5635e+06	-7.367e+05	-0.4712	-25.229	0.47459
125.000	1.5612e+06	-7.748e+05	-0.4963	-26.396	0.46604
126.000	1.5941e+06	-8.057e+05	-0.5054	-26.814	0.45844
127.000	1.5958e+06	-8.387e+05	-0.5256	-27.726	0.45044
128.000	1.6312e+06	-8.728e+05	-0.5351	-28.151	0.44317
129.000	1.6349e+06	-9.036e+05	-0.5527	-28.928	0.43555
130.000	1.6380e+06	-9.361e+05	-0.5715	-29.747	0.42818
131.000	2.0257e+06	-9.696e+05	-0.4787	-25.578	0.50710
132.000	2.0289e+06	-1.004e+06	-0.4951	-26.339	0.49853
133.000	2.0653e+06	-1.022e+06	-0.4950	-26.334	0.49069
134.000	2.0812e+06	-1.043e+06	-0.5010	-26.609	0.48286
135.000	1.7220e+06	-1.114e+06	-0.6467	-32.892	0.46848
136.000	1.7132e+06	-1.090e+06	-0.6363	-32.470	0.46069
137.000	1.7652e+06	-1.091e+06	-0.6182	-31.725	0.45414
138.000	-1.613e+06	-1.031e+06	0.63905	212.581	0.44904
139.000	1.8459e+06	-1.204e+06	-0.6523	-33.118	0.44093
140.000	1.8723e+06	-1.248e+06	-0.6667	-33.691	0.43444
141.000	1.8656e+06	-1.290e+06	-0.6912	-34.652	0.42749
142.000	1.8890e+06	-1.324e+06	-0.7011	-35.033	0.44151
143.000	1.8847e+06	-1.354e+06	-0.7186	-35.700	0.42141
144.000	1.8786e+06	-1.379e+06	-0.7340	-36.280	0.41493
145.000	1.9102e+06	-1.407e+06	-0.7364	-36.367	0.40896
146.000	1.8989e+06	-1.437e+06	-0.7565	-37.109	0.40265
147.000	1.9259e+06	-1.453e+06	-0.7545	-37.036	0.39702
148.000	1.9199e+06	-1.472e+06	-0.7668	-37.482	0.39107
149.000	1.9422e+06	-1.489e+06	-0.7665	-37.471	0.38556
150.000	1.9347e+06	-1.496e+06	-0.7732	-37.712	0.37982
151.000	1.9350e+06	-1.502e+06	-0.7761	-37.815	0.37431
152.000	1.9781e+06	-1.504e+06	-0.7603	-37.246	0.36938
153.000	1.9963e+06	-1.509e+06	-0.7557	-37.079	0.36426
154.000	2.0468e+06	-1.533e+06	-0.7488	-36.825	0.35967
155.000	2.0513e+06	-1.556e+06	-0.7586	-37.185	0.35472
156.000	2.0923e+06	-1.573e+06	-0.7516	-36.928	0.35005
157.000	2.0852e+06	-1.588e+06	-0.7613	-37.283	0.34512
158.000	2.1205e+06	-1.586e+06	-0.7478	-36.789	0.34065
159.000	2.1143e+06	-1.575e+06	-0.7451	-36.691	0.33592
160.000	2.1323e+06	-1.557e+06	-0.7301	-36.134	0.33148
161.000	2.1864e+06	-1.548e+06	-0.7081	-35.302	0.32747
162.000	2.2197e+06	-1.534e+06	-0.6913	-34.655	0.32330
163.000	2.2952e+06	-1.527e+06	-0.6652	-33.630	0.31953
164.000	2.3667e+06	-1.526e+06	-0.6449	-32.819	0.31583
165.000	2.3530e+06	-1.524e+06	-0.6478	-32.935	0.31158
166.000	2.4159e+06	-1.504e+06	-0.6226	-31.907	0.30792
167.000	2.5032e+06	-1.473e+06	-0.5886	-30.482	0.30447
168.000	2.5310e+06	-1.437e+06	-0.5677	-29.583	0.30071
169.000	2.6408e+06	-1.423e+06	-0.5389	-28.320	0.29756
170.000	2.7445e+06	-1.421e+06	-0.5177	-27.372	0.29442
171.000	2.8538e+06	-1.383e+06	-0.4848	-25.864	0.29137
172.000	2.8826e+06	-1.466e+06	-0.5085	-26.953	0.28785
173.000	3.0338e+06	-1.464e+06	-0.4825	-25.759	0.28516
174.000	3.1637e+06	-1.477e+06	-0.4667	-25.019	0.28234
175.000	3.2188e+06	-1.476e+06	-0.4587	-24.641	0.27911
176.000	3.3684e+06	-1.490e+06	-0.4425	-23.868	0.27650
177.000	3.5473e+06	-1.498e+06	-0.4222	-22.890	0.27408
178.000	3.7894e+06	-1.549e+06	-0.4087	-22.229	0.27203
179.000	3.8897e+06	-1.649e+06	-0.4238	-22.969	0.26922
180.000	4.0417e+06	-1.765e+06	-0.4367	-23.592	0.26676
181.000	4.1723e+06	-1.897e+06	-0.4546	-24.446	0.26426
182.000	4.1911e+06	-2.076e+06	-0.4954	-26.353	0.26115
183.000	4.2768e+06	-2.199e+06	-0.5141	-27.208	0.25842
184.000	4.3410e+06	-2.335e+06	-0.5379	-28.275	0.25562
185.000	4.4035e+06	-2.456e+06	-0.5578	-29.152	0.25281
186.000	4.3501e+06	-2.578e+06	-0.5927	-30.657	0.24962
