Freq	E'	E"	tan_delta	PhaseAngle	strain
Hz	Pa	Pa	 	°	%
152.000	1.6545e+06	-1.324e+06	-0.8000	-38.658	0.36768
153.000	1.6754e+06	-1.332e+06	-0.7950	-38.483	0.36263
154.000	1.7185e+06	-1.357e+06	-0.7899	-38.306	0.35800
155.000	1.7212e+06	-1.375e+06	-0.7990	-38.624	0.35299
156.000	1.7569e+06	-1.390e+06	-0.7913	-38.354	0.34842
157.000	1.7530e+06	-1.395e+06	-0.7961	-38.522	0.34358
158.000	1.7823e+06	-1.393e+06	-0.7816	-38.012	0.33912
159.000	1.7860e+06	-1.376e+06	-0.7704	-37.611	0.33450
160.000	1.8022e+06	-1.356e+06	-0.7526	-36.964	0.33010
161.000	1.8607e+06	-1.350e+06	-0.7253	-35.952	0.32618
162.000	1.8891e+06	-1.332e+06	-0.7050	-35.186	0.32201
163.000	1.9782e+06	-1.319e+06	-0.6670	-33.703	0.31854
164.000	2.0352e+06	-1.334e+06	-0.6555	-33.243	0.31477
165.000	2.0236e+06	-1.329e+06	-0.6569	-33.299	0.31051
166.000	2.0952e+06	-1.318e+06	-0.6288	-32.163	0.30699
167.000	2.1843e+06	-1.307e+06	-0.5985	-30.899	0.30368
168.000	2.2152e+06	-1.303e+06	-0.5884	-30.470	0.30003
169.000	2.2990e+06	-1.324e+06	-0.5760	-29.943	0.29676
170.000	2.3718e+06	-1.330e+06	-0.5609	-29.289	0.29348
171.000	2.4448e+06	-1.305e+06	-0.5338	-28.094	0.29023
172.000	2.5114e+06	-1.256e+06	-0.4999	-26.561	0.28701
173.000	2.6551e+06	-1.252e+06	-0.4716	-25.248	0.28435
174.000	2.7848e+06	-1.272e+06	-0.4566	-24.542	0.28162
175.000	2.8438e+06	-1.287e+06	-0.4527	-24.356	0.27848
176.000	2.9885e+06	-1.305e+06	-0.4366	-23.584	0.27591
177.000	3.1598e+06	-1.345e+06	-0.4257	-23.057	0.27363
178.000	3.3172e+06	-1.363e+06	-0.4107	-22.330	0.27119
179.000	3.3893e+06	-1.457e+06	-0.4298	-23.260	0.26833
180.000	3.5196e+06	-1.574e+06	-0.4472	-24.094	0.26584
181.000	3.6351e+06	-1.696e+06	-0.4666	-25.012	0.26329
182.000	3.6589e+06	-1.849e+06	-0.5055	-26.816	0.26024
183.000	3.7383e+06	-1.971e+06	-0.5273	-27.804	0.25757
184.000	3.7908e+06	-2.084e+06	-0.5497	-28.797	0.25479
185.000	3.8258e+06	-2.199e+06	-0.5747	-29.888	0.25192
186.000	3.7830e+06	-2.307e+06	-0.6097	-31.371	0.24867
187.000	3.8306e+06	-2.395e+06	-0.6252	-32.015	0.24601
188.000	3.8487e+06	-2.473e+06	-0.6426	-32.727	0.24319
189.000	3.7839e+06	-2.574e+06	-0.6802	-34.223	0.24002
190.000	3.7863e+06	-2.621e+06	-0.6922	-34.691	0.23728
191.000	3.0990e+06	-2.761e+06	-0.8909	-41.697	0.23136
192.000	3.0993e+06	-2.761e+06	-0.8908	-41.696	0.22877
193.000	3.0536e+06	-2.768e+06	-0.9063	-42.187	0.22595
194.000	3.1129e+06	-2.793e+06	-0.8971	-41.895	0.22366
195.000	3.2094e+06	-2.786e+06	-0.8682	-40.965	0.22160
196.000	3.2077e+06	-2.842e+06	-0.8861	-41.544	0.21909
197.000	3.3077e+06	-2.898e+06	-0.8763	-41.228	0.21710
198.000	3.3736e+06	-2.974e+06	-0.8815	-41.396	0.21499
199.000	3.4563e+06	-3.060e+06	-0.8854	-41.522	0.21296
200.000	3.4348e+06	-3.147e+06	-0.9163	-42.500	0.21055
201.000	3.4784e+06	-3.233e+06	-0.9295	-42.908	0.20845
202.000	3.5207e+06	-3.318e+06	-0.9424	-43.302	0.20635
203.000	3.5627e+06	-3.409e+06	-0.9568	-43.736	0.20430
204.000	3.5139e+06	-3.480e+06	-0.9903	-44.722	0.20196
205.000	3.5634e+06	-3.591e+06	-1.0077	-45.221	0.20001
206.000	3.5708e+06	-3.641e+06	-1.0196	-45.556	0.19791
207.000	3.4804e+06	-3.713e+06	-1.0668	-46.851	0.19555
208.000	3.5017e+06	-3.768e+06	-1.0762	-47.102	0.19357
209.000	3.5030e+06	-3.822e+06	-1.0910	-47.491	0.19156
210.000	3.5252e+06	-3.859e+06	-1.0948	-47.591	0.18968
211.000	3.4393e+06	-3.892e+06	-1.1317	-48.536	0.18748
212.000	3.4796e+06	-3.933e+06	-1.1303	-48.500	0.18569
213.000	3.5177e+06	-3.971e+06	-1.1288	-48.461	0.18389
