Freq	E'	E"	tan_delta	PhaseAngle	strain
Hz	Pa	Pa	 	°	%
1.00000	1.5061e+05	13154.6	0.08734	4.992	0.48628
2.00000	1.5372e+05	14851.6	0.09662	5.519	0.48699
3.00000	1.5587e+05	16478.0	0.10571	6.035	0.48912
4.00000	1.5826e+05	17410.3	0.11001	6.278	0.49246
5.00000	1.5944e+05	18817.2	0.11802	6.731	0.49738
6.00000	1.6056e+05	20348.8	0.12673	7.223	0.50356
7.00000	1.6263e+05	20827.0	0.12806	7.298	0.51102
8.00000	1.6461e+05	21549.6	0.13091	7.458	0.52006
9.00000	1.6656e+05	22617.1	0.13579	7.733	0.53087
10.00000	1.6805e+05	24433.9	0.14540	8.273	0.54374
11.0000	1.7059e+05	23016.7	0.13493	7.684	0.55822
12.0000	1.7077e+05	25482.3	0.14922	8.487	0.49976
13.0000	1.7271e+05	26424.0	0.15300	8.699	0.51726
14.0000	1.7548e+05	26593.8	0.15155	8.618	0.53728
15.0000	1.7799e+05	27021.4	0.15181	8.632	0.56068
16.0000	1.7817e+05	28201.2	0.15829	8.994	0.50189
17.0000	1.8067e+05	28223.9	0.15622	8.879	0.52964
18.0000	1.8384e+05	28088.1	0.15278	8.687	0.56270
19.0000	1.8417e+05	29208.5	0.15860	9.012	0.50029
20.0000	1.8705e+05	29637.0	0.15844	9.003	0.54046
21.0000	1.8781e+05	30056.3	0.16004	9.092	0.50346
22.0000	1.9235e+05	28997.8	0.15075	8.573	0.55679
23.0000	1.9344e+05	30539.1	0.15787	8.971	0.50191
24.0000	1.9667e+05	30601.9	0.15560	8.845	0.50234
25.0000	1.9827e+05	30284.5	0.15274	8.684	0.50194
26.0000	2.0099e+05	30672.4	0.15261	8.677	0.50663
27.0000	2.0346e+05	29814.0	0.14654	8.337	0.51046
28.0000	2.0708e+05	28946.7	0.13978	7.957	0.51660
29.0000	2.0877e+05	29796.5	0.14272	8.123	0.51615
30.0000	2.1105e+05	28103.5	0.13316	7.585	0.50886
31.0000	2.1423e+05	28844.1	0.13464	7.668	0.51266
32.0000	2.1767e+05	27427.8	0.12600	7.182	0.50898
33.0000	2.2048e+05	26363.2	0.11957	6.819	0.50926
34.0000	2.2323e+05	26036.9	0.11664	6.653	0.50361
35.0000	2.2539e+05	24619.8	0.10923	6.234	0.50245
36.0000	2.2640e+05	22180.0	0.09797	5.595	0.50438
37.0000	2.2803e+05	21855.0	0.09584	5.475	0.43059
38.0000	2.3370e+05	20901.7	0.08944	5.111	0.50262
39.0000	2.3415e+05	19676.0	0.08403	4.803	0.44235
40.0000	2.3712e+05	18219.5	0.07684	4.394	0.50211
41.0000	2.3962e+05	17312.5	0.07225	4.132	0.45216
42.0000	2.3957e+05	14795.6	0.06176	3.534	0.50137
43.0000	2.4043e+05	14198.5	0.05905	3.380	0.45739
44.0000	2.4580e+05	12153.2	0.04944	2.831	0.50263
45.0000	2.4390e+05	10893.0	0.04466	2.557	0.46249
46.0000	2.4464e+05	10385.1	0.04245	2.431	0.42857
47.0000	2.5055e+05	7678.92	0.03065	1.755	0.50159
48.0000	2.4726e+05	8258.44	0.03340	1.913	0.46699
49.0000	2.3931e+05	10796.3	0.04511	2.583	0.43564
50.0000	2.4513e+05	7181.57	0.02930	1.678	0.50222
51.0000	2.3683e+05	9341.33	0.03944	2.259	0.47086
52.0000	2.3330e+05	13587.1	0.05824	3.333	0.44384
53.0000	2.3739e+05	15728.2	0.06626	3.791	0.50079
54.0000	2.2301e+05	24170.1	0.10838	6.186	0.47227
55.0000	2.1461e+05	36236.9	0.16885	9.584	0.44716
56.0000	2.1890e+05	51649.0	0.23595	13.276	0.50260
57.0000	1.9543e+05	81999.9	0.41959	22.763	0.47540
58.0000	1.9411e+05	1.2553e+05	0.64669	32.890	0.45300
59.0000	2.1267e+05	1.8669e+05	0.87785	41.278	0.43417
60.0000	3.0664e+05	2.4842e+05	0.81013	39.012	0.50315
61.0000	4.2155e+05	2.7462e+05	0.65146	33.083	0.49365
62.0000	5.2210e+05	2.4891e+05	0.47674	25.489	0.48312
63.0000	5.7127e+05	2.0686e+05	0.36211	19.906	0.46773
64.0000	6.0815e+05	1.5903e+05	0.26150	14.655	0.45183
65.0000	6.1869e+05	1.1693e+05	0.18899	10.702	0.43444
66.0000	6.4579e+05	68563.0	0.10617	6.060	0.50255
67.0000	-1.608e+06	56558.3	-0.0352	177.986	0.48948
68.0000	6.3665e+05	15093.2	0.02371	1.358	0.46346
69.0000	6.3905e+05	-7387.2	-0.0116	-0.662	0.44620
70.0000	6.4145e+05	-24774.	-0.0386	-2.212	0.42999
70.9999	6.6236e+05	-47655.	-0.0719	-4.115	0.50111
71.9999	6.5761e+05	-61001.	-0.0928	-5.300	0.48295
72.9999	6.3527e+05	-70582.	-0.1111	-6.340	0.46469
73.9999	6.4144e+05	-84408.	-0.1316	-7.497	0.44935
74.9999	6.4977e+05	-90329.	-0.1390	-7.914	0.43493
75.9999	6.8795e+05	-1.054e+05	-0.1532	-8.713	0.50352
76.9999	6.9918e+05	-1.202e+05	-0.1719	-9.751	0.48802
77.9999	6.7161e+05	-1.332e+05	-0.1984	-11.222	0.47101
78.9999	6.7582e+05	-1.445e+05	-0.2138	-12.067	0.45667
79.9999	6.7002e+05	-1.579e+05	-0.2357	-13.263	0.44255
80.9999	6.7203e+05	-1.677e+05	-0.2496	-14.015	0.42950
81.9999	7.3655e+05	-1.726e+05	-0.2344	-13.191	0.50266
82.9999	7.3110e+05	-1.809e+05	-0.2474	-13.896	0.48781
83.9999	6.7438e+05	-1.897e+05	-0.2813	-15.709	0.47106
84.9999	6.8917e+05	-1.898e+05	-0.2754	-15.399	0.45863
85.9999	6.8962e+05	-1.842e+05	-0.2672	-14.957	0.44601
86.9999	7.2290e+05	-1.807e+05	-0.2500	-14.035	0.43535
87.9999	8.0197e+05	-1.885e+05	-0.2350	-13.226	0.50381
89.0000	8.4234e+05	-2.051e+05	-0.2435	-13.685	0.49230
90.0000	8.4957e+05	-2.273e+05	-0.2675	-14.978	0.47971
91.0000	7.7872e+05	-2.506e+05	-0.3218	-17.836	0.46450
92.0000	8.0489e+05	-2.642e+05	-0.3282	-18.172	0.45371
93.0000	8.0310e+05	-2.689e+05	-0.3349	-18.514	0.44250
94.0000	8.4206e+05	-2.809e+05	-0.3336	-18.447	0.43280
95.0000	9.6176e+05	-2.751e+05	-0.2861	-15.963	0.50430
96.0000	1.0738e+06	-3.206e+05	-0.2985	-16.622	0.49642
97.0000	1.3160e+06	-5.519e+05	-0.4194	-22.754	0.49387
