Freq	E'	E"	tan_delta	PhaseAngle	strain
Hz	Pa	Pa	 	°	%
1.00000	1.0729e+05	10299.5	0.09600	5.484	0.49343
2.00000	1.0934e+05	11689.5	0.10691	6.102	0.49427
3.00000	1.1076e+05	12365.7	0.11165	6.371	0.49667
4.00000	1.1263e+05	13656.3	0.12125	6.913	0.50009
5.00000	1.1330e+05	14268.3	0.12593	7.178	0.50527
6.00000	1.1482e+05	15452.9	0.13458	7.665	0.51154
7.00000	1.1628e+05	16438.7	0.14138	8.047	0.51930
8.00000	1.1774e+05	16834.1	0.14298	8.137	0.52862
9.00000	1.1957e+05	18034.3	0.15083	8.577	0.53969
10.00000	1.2065e+05	19064.3	0.15801	8.979	0.55298
11.0000	1.2319e+05	18840.7	0.15294	8.695	0.56784
12.0000	1.2364e+05	20555.7	0.16625	9.439	0.50052
13.0000	1.2511e+05	20751.0	0.16586	9.417	0.51833
14.0000	1.2766e+05	21168.2	0.16581	9.415	0.53851
15.0000	1.3037e+05	21963.7	0.16847	9.563	0.56201
16.0000	1.3022e+05	22131.6	0.16995	9.645	0.50090
17.0000	1.3255e+05	23407.2	0.17659	10.015	0.52886
18.0000	1.3569e+05	22227.1	0.16381	9.303	0.56240
19.0000	1.3612e+05	23113.3	0.16980	9.637	0.50173
20.0000	1.3948e+05	23380.0	0.16762	9.515	0.54229
21.0000	1.4020e+05	23950.0	0.17083	9.694	0.50250
22.0000	1.4432e+05	23589.5	0.16345	9.283	0.55646
23.0000	1.4533e+05	24134.8	0.16607	9.429	0.50220
24.0000	1.4844e+05	23649.7	0.15932	9.052	0.50212
25.0000	1.5080e+05	23754.3	0.15752	8.952	0.50377
26.0000	1.5355e+05	23986.7	0.15621	8.878	0.50355
27.0000	1.5653e+05	22827.8	0.14584	8.297	0.51530
28.0000	1.6046e+05	22050.2	0.13742	7.825	0.52187
29.0000	1.6256e+05	22731.4	0.13983	7.960	0.51629
30.0000	1.6380e+05	21257.1	0.12978	7.394	0.45720
31.0000	1.6897e+05	21748.1	0.12871	7.334	0.51662
32.0000	1.7132e+05	20592.5	0.12020	6.854	0.50464
33.0000	1.7466e+05	19095.0	0.10933	6.239	0.51096
34.0000	1.7855e+05	18766.0	0.10511	6.000	0.50378
35.0000	1.8173e+05	18525.5	0.10194	5.821	0.50152
36.0000	1.8383e+05	16396.0	0.08919	5.097	0.50270
37.0000	1.8673e+05	15923.3	0.08527	4.874	0.43043
38.0000	1.9291e+05	14463.1	0.07497	4.288	0.50378
39.0000	1.9527e+05	13350.3	0.06837	3.911	0.44423
40.0000	1.9990e+05	11235.3	0.05621	3.217	0.50176
41.0000	2.0492e+05	10555.6	0.05151	2.949	0.45259
42.0000	2.0640e+05	8427.60	0.04083	2.338	0.50206
43.0000	2.1055e+05	6798.17	0.03229	1.849	0.45886
44.0000	2.1733e+05	4737.12	0.02180	1.249	0.50152
45.0000	2.1872e+05	2859.97	0.01308	0.749	0.46218
46.0000	2.2424e+05	1162.33	0.00518	0.297	0.42892
47.0000	2.3264e+05	-2123.9	-0.0091	-0.523	0.50220
48.0000	2.3426e+05	-3540.7	-0.0151	-0.866	0.46821
49.0000	2.3427e+05	-4949.9	-0.0211	-1.210	0.43778
50.0000	2.4357e+05	-9771.5	-0.0401	-2.297	0.50142
51.0000	2.4573e+05	-10249.	-0.0417	-2.388	0.47169
52.0000	2.5243e+05	-12710.	-0.0503	-2.882	0.44565
53.0000	2.6436e+05	-16320.	-0.0617	-3.533	0.49816
54.0000	2.6594e+05	-19988.	-0.0752	-4.298	0.47144
55.0000	2.7152e+05	-23293.	-0.0858	-4.903	0.44773
56.0000	2.7645e+05	-26823.	-0.0970	-5.542	0.42581
57.0000	2.8650e+05	-31499.	-0.1099	-6.274	0.50285
58.0000	2.8493e+05	-36380.	-0.1277	-7.276	0.47864
59.0000	2.9085e+05	-40325.	-0.1386	-7.894	0.45723
60.0000	2.9609e+05	-44516.	-0.1503	-8.550	0.43733
61.0000	3.1400e+05	-49324.	-0.1571	-8.927	0.50369
62.0000	3.1077e+05	-53087.	-0.1708	-9.694	0.48158
63.0000	3.1622e+05	-59282.	-0.1875	-10.618	0.46211
64.0000	3.2174e+05	-62883.	-0.1954	-11.059	0.44395
65.0000	3.2118e+05	-67437.	-0.2100	-11.858	0.42623
66.0000	3.4685e+05	-72339.	-0.2086	-11.781	0.50140
67.0000	3.5166e+05	-77633.	-0.2208	-12.449	0.48275
68.0000	3.4295e+05	-83160.	-0.2425	-13.630	0.46387
69.0000	3.4859e+05	-88241.	-0.2531	-14.205	0.44751
70.0000	3.5245e+05	-93145.	-0.2643	-14.804	0.43185
70.9999	3.7968e+05	-96223.	-0.2534	-14.221	0.50151
71.9999	3.8107e+05	-1.012e+05	-0.2657	-14.877	0.48436
72.9999	3.6607e+05	-1.070e+05	-0.2923	-16.292	0.46676
73.9999	3.7633e+05	-1.119e+05	-0.2975	-16.565	0.45213
74.9999	3.8193e+05	-1.157e+05	-0.3029	-16.854	0.43791
75.9999	4.2847e+05	-1.197e+05	-0.2795	-15.614	0.50425
76.9999	4.3419e+05	-1.304e+05	-0.3003	-16.716	0.48883
77.9999	4.1217e+05	-1.410e+05	-0.3422	-18.891	0.47207
78.9999	4.1225e+05	-1.502e+05	-0.3643	-20.018	0.45782
79.9999	4.1278e+05	-1.556e+05	-0.3769	-20.653	0.44424
80.9999	4.1479e+05	-1.637e+05	-0.3948	-21.543	0.43137
81.9999	4.7182e+05	-1.651e+05	-0.3499	-19.283	0.50208
82.9999	4.6995e+05	-1.704e+05	-0.3626	-19.928	0.48764
83.9999	4.2283e+05	-1.759e+05	-0.4159	-22.582	0.47114
84.9999	4.3354e+05	-1.765e+05	-0.4072	-22.157	0.45880
85.9999	4.2922e+05	-1.697e+05	-0.3954	-21.576	0.44616
86.9999	4.5555e+05	-1.593e+05	-0.3497	-19.272	0.43554
87.9999	4.7842e+05	-1.604e+05	-0.3353	-18.534	0.42519
89.0000	5.6090e+05	-1.795e+05	-0.3201	-17.749	0.50373
90.0000	5.6702e+05	-2.002e+05	-0.3530	-19.444	0.49108
91.0000	5.0609e+05	-2.179e+05	-0.4306	-23.298	0.47549
92.0000	5.2141e+05	-2.329e+05	-0.4466	-24.066	0.46428
93.0000	5.1664e+05	-2.361e+05	-0.4570	-24.561	0.45265
94.0000	5.3525e+05	-2.378e+05	-0.4443	-23.954	0.44249
